Club Name,Source URL,Emails
FC Dallas,https://www.fcdallas.com/,feedback@fcdallas.com
Oklahoma Celtic,https://oklahomaceltic.com/about-us/contact-us/,administrator@oklahomaceltic.com
Oklahoma Energy FC,https://okenergyfc.org/,info@okenergyfc.org
Solar SC,https://solarsoccerclub.net/resource-hub/contact-us/,admin@solarsoccerclub.net
Sting SC,https://stingsoccer.com/,
Tulsa SC,https://www.tulsasc.com/contact-us/,support@tulsasc.com
Arizona Arsenal,https://www.azarsenalsc.org/contact/,arsenaltryouts@gmail.com; davidbelfort@ymail.com; tannafinnvik@azarsenalsc.org
Boise Thorns,https://boisetimbersthorns.org/contact-us/,registrar@boisetimbersthorns.org
Crossfire Premier,https://www.crossfiresoccer.org/about-us/contact/,
Crossfire United,https://www.crossfiresoccer.org/,
Eastside FC,https://www.eastsidefc.org/contact,info@eastsidefc.org; media@eastsidefc.org
FC Portland,https://www.fcportland.org/contact,louis.tanguy@fcportland.org
Heat FC,https://www.fresnoheatfc.com/,admin@fresnoheatfc.com
La Roca,https://larocafc.com/contact/,
PacNW,https://www.pacificnorthwestsoccerclub.org/contact,
Phoenix Rising FC,https://www.phxrisingfc.com/contact-us/,info@phxrisingfc.com
Portland Thorns Academy,https://www.thorns.com/academy/player-interest-form,portlandthornsacademy@gmail.com
Real Colorado,https://www.realcolorado.net/,realcares@realcolorado.net; SobyG@realcolorado.net
San Juan SC,https://playclubsoccer.org/club/san-juan-soccer-club,clubadmin@sanjuansoccer.org
Seattle United,https://www.seattleunited.com/,info@seattleunited.com
Utah Avalanche,https://utahavalanche.com/about-us/contact-us/,
Utah Royals FC-AZ,https://www.royalsfcaz.com/,troberts@royalsfcaz.com
Washington Premier,https://www.washingtonpremierfc.com/about-us/contact-us/,
Boise Timbers,https://boisetimbersthorns.org/contact-us/,registrar@boisetimbersthorns.org
Capital FC,https://www.cfcsalem.com/,office@cfcsalem.com
Colorado Rush,https://www.coloradorush.com/contact-us,info@coloradorush.com
Eugene Metro,https://emfc.org/,
Idaho Rush,https://www.idahorush.com/contact,info@hawaiirush.com; info@idahorush.com
Oregon Premier,https://www.oregonpremierfc.com/contact-us,info@oregonpremierfc.com
Arsenal FC,https://www.arsenal.com/the-club/contact-arsenal,partnerships@arsenal.co.uk; customerservice@arsenaldirect.co.uk
Beach FC,https://www.beachfc.com/,
Davis Legacy,https://playclubsoccer.org/club/davis-legacy,
De Anza Force,https://www.deanzaforce.org/about-us/contact-force,
Del Mar Sharks,https://legendsfcsd.com/,
Eagles SC,https://eaglessc.sprocketsports.com/,info@eaglessc.com
LA Breakers,https://labreakersfc.com/,info@labreakersfc.com
LAFC Slammers,https://slammersfc.org/contact/,
Legends FC,https://www.legendsfc.net/contact-us,mama.hodges@legendsfc.net; tsklar@legendsfc.net
Marin FC,https://marinfc.org/contact-us/,admin@marinfc.com
Mustang SC,https://mustangsoccer.com/contact-us,media@mustangsoccer.com
MVLA,https://www.mvlasc.org/,admin@mvlasc.org
Pleasanton Rage,https://pleasantonrage.org/contact-us/,
Real So Cal,http://realsocal.org/about-us/contact-us,Paul.clifton@lafcsocal.org; Richard.Simms@lafcsocal.org; Alberto.Bru@lafcsocal.org; info@lafcsocal.org; Zach.Feldman@lafcsocal.org
Rebels SC,https://rebelssoccerclub.com/home/,
San Diego Surf,https://surfsoccer.com/contact-us/,info@surfsoccer.com
Santa Rosa United,https://www.srunited.com/club/contact-us/,
Slammers FC,https://slammersfc.org/contact/,
So Cal Blues,https://bluessoccer.com/about,
Strikers FC,https://www.strikersfc.com/,
